model_name,k,accuracy,correct,total,time_sec
mistralai/mistral-7b-chat,5,0.7435616438356164,8142,10950,5.941757917404175
mistralai/mistral-7b-chat,10,0.8135159817351598,8908,10950,5.747220993041992
mistralai/mistral-7b-chat,40,0.8523287671232876,9333,10950,5.826190948486328
WizardLM/WizardLM-13B-V1.2,5,0.7564383561643836,8283,10950,5.861533164978027
WizardLM/WizardLM-13B-V1.2,10,0.7302283105022831,7996,10950,5.976505994796753
WizardLM/WizardLM-13B-V1.2,40,0.8015525114155251,8777,10950,6.020071029663086
mistralai/mixtral-8x7b-chat,5,0.798082191780822,8739,10950,5.954934120178223
mistralai/mixtral-8x7b-chat,10,0.8074885844748858,8842,10950,5.964777946472168
mistralai/mixtral-8x7b-chat,40,0.8523287671232876,9333,10950,5.985135078430176
zero-one-ai/Yi-34B-Chat,5,0.8114155251141553,8885,10950,5.938416957855225
zero-one-ai/Yi-34B-Chat,10,0.8200913242009132,8980,10950,5.9372642040252686
zero-one-ai/Yi-34B-Chat,40,0.8276712328767123,9063,10950,6.03227972984314
claude-instant-v1,5,0.8144292237442923,8918,10950,5.740085124969482
claude-instant-v1,10,0.7978082191780822,8736,10950,6.009582757949829
claude-instant-v1,40,0.8525114155251141,9335,10950,6.242063999176025
gpt-3.5-turbo-1106,5,0.7931506849315069,8685,10950,5.990096807479858
gpt-3.5-turbo-1106,10,0.7750684931506849,8487,10950,5.951370000839233
gpt-3.5-turbo-1106,40,0.8454794520547945,9258,10950,6.269111156463623
gpt-4-1106-preview,5,0.7944292237442923,8699,10950,5.932246923446655
gpt-4-1106-preview,10,0.8180821917808219,8958,10950,6.078325986862183
gpt-4-1106-preview,40,0.8471232876712329,9276,10950,6.092259168624878
meta/llama-2-70b-chat,5,0.7365296803652968,8065,10950,5.969732999801636
meta/llama-2-70b-chat,10,0.7643835616438356,8370,10950,5.849468946456909
meta/llama-2-70b-chat,40,0.8502283105022831,9310,10950,6.061861753463745
meta/code-llama-instruct-34b-chat,5,0.8202739726027397,8982,10950,6.2873008251190186
meta/code-llama-instruct-34b-chat,10,0.8176255707762558,8953,10950,6.280056953430176
meta/code-llama-instruct-34b-chat,40,0.8517808219178082,9327,10950,6.490119934082031
claude-v1,5,0.7061187214611873,7732,10950,5.606513977050781
claude-v1,10,0.7178082191780822,7860,10950,5.7024030685424805
claude-v1,40,0.8538812785388128,9350,10950,5.924951791763306
claude-v2,5,0.7646575342465753,8373,10950,5.629211187362671
claude-v2,10,0.8067579908675799,8834,10950,5.735867023468018
claude-v2,40,0.8531506849315068,9342,10950,5.9003541469573975
